accountsservice 26.27.3-1.1
alacritty 0.17.0-1.2
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-6.1
alsa-utils 1.2.16-1.1
amd-ucode 1:20260810-2
android-studio 2026.1.3.8-1
awesome-terminal-fonts 1.1.0-5
base 3-3
base-devel 1-2
bash-completion 2.18.0-1
bind 9.20.27-1.1
bluez 5.87-2.1
bluez-hid2hci 5.87-2.1
bluez-libs 5.87-2.1
bluez-obex 5.87-2.1
bluez-utils 5.87-2.1
brave-bin 1:1.93.138-1
btop 1.4.7-1.1
btrfs-assistant 2.3.1-1.1
btrfs-progs 7.1-1
cachy-update 4.1.6-1
cachyos-fish-config 16-1
cachyos-gaming-applications 1.0.0-2
cachyos-gaming-meta 1:1.0.0-9
cachyos-grub-theme 1.0.0-1
cachyos-hello 0.28.1-1
cachyos-hooks 2026.02.05-1
cachyos-hypr-noctalia 1.2.5-1
cachyos-kernel-manager 1.19.0-1
cachyos-keyring 20240331-1
cachyos-micro-settings 1.0.0-1
cachyos-mirrorlist 27-1
cachyos-packageinstaller 1.6.2-1
cachyos-plymouth-bootanimation 2-3
cachyos-plymouth-theme 1-1
cachyos-rate-mirrors 24-1
cachyos-settings 1:1.4.0-1
cachyos-v3-mirrorlist 27-1
cachyos-v4-mirrorlist 27-1
cachyos-wallpapers r23.964263e-1
cachyos-zsh-config 1.0.3-1
cantarell-fonts 1:0.311-1
chromium 151.0.7922.173-1.1
chwd 1.24.1-1
claude-desktop 1.34493.1-1
cmake 4.4.2-1.1
cpupower 7.2-1
cryptsetup 2.8.7-1.1
cups 2:2.4.19-1
cups-filters 2.0.1-2.1
cups-pdf 3.0.3-1.1
debtap 3.6.3-1
device-mapper 2.03.42-1.1
diffutils 3.12-2.1
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15.1
dnsmasq 2.93-1.1
dolphin 26.08.0-4.1
dosfstools 4.2-5.1
duf 0.9.1-1.1
e2fsprogs 1.47.4-1.1
efibootmgr 18-4.1
efitools 1.9.2-7.1
egl-wayland 4:1.1.21-1.1
ethtool 1:7.1-1.1
exfatprogs 1.4.3-1.1
f2fs-tools 1.16.0-3.1
fastfetch 2.67.1-1.1
ffmpegthumbnailer 2.3.0-2.1
firefox-pure 153.0.3-1
flatpak 1:1.18.1-1.1
foomatic-db 3:20260813-1
foomatic-db-engine 5:20200131-2.1
foomatic-db-gutenprint-ppds 5.3.5-1.1
foomatic-db-nonfree 3:20260813-1
foomatic-db-nonfree-ppds 3:20260813-1
foomatic-db-ppds 3:20260813-1
fsarchiver 0.8.9-1.1
ghostscript 10.07.1-1.1
git 2.55.0-1.1
github-cli 2.98.0-1.1
glances 4.5.6-1
grub 2:2.14-1.1
grub-btrfs-support 1.0.0-2
grub-hook 2.1-1
gsfonts 20200910-6
gst-libav 1.28.6-1.1
gst-plugin-pipewire 1:1.6.8-1
gst-plugin-va 1.28.6-1.1
gst-plugins-bad 1.28.6-1.1
gst-plugins-ugly 1.28.6-1.1
gutenprint 5.3.5-1.1
hdparm 9.65-3.1
hplip 1:3.26.4-1.1
hwdetect 2025.08.16.1333-1
hwinfo 25.5-1.1
hyprland 0.56.2-1
inetutils 2.8-1.1
iwd 3.12-1.1
jdk17-openjdk 17.0.19.u10-2
jfsutils 1.1.15-9.1
kitty 0.48.2-1.1
less 1:704-1.1
lib32-nvidia-utils 610.57.04-1
lib32-opencl-nvidia 610.57.04-1
lib32-vulkan-icd-loader 1.4.357.0-1
lib32-vulkan-radeon 3:26.2.1-1
libdvdcss 1.6.0-1.1
libgsf 1.14.58-1.1
libopenraw 0.3.7-2.1
librewolf-bin 1:153.0.3_1-1
libva-nvidia-driver 0.0.17-1.1
linux-cachyos 7.2.0-1
linux-cachyos-headers 7.2.0-1
